"Periode ke","date","TS","WS10M","PRECTOT","WS50M","T2M","PS","T2MWET","T2MDEW"
"594","8/16/2020","27.73","1.78","1.1","4.05","27.6","99.08","19.39","19.62"
"595","8/17/2020","27","1.83","0.54","4.08","26.9","99.19","18.5","18.82"
"596","8/18/2020","27.13","1.1","0.02","2.6","27.12","98.95","15.4","15.66"
"597","8/19/2020","26.77","1","3.41","2.42","26.65","98.79","17.69","17.94"
"598","8/20/2020","23.14","1.26","12.15","2.81","23.13","98.92","21.42","21.41"
"599","8/21/2020","23.73","1.06","6.71","2.08","23.95","98.92","18.86","19.03"
"600","8/22/2020","24.61","1.28","4.52","2.38","24.94","99.08","18.47","18.65"
"601","8/23/2020","25.69","1.3","1.49","3.04","25.66","99.39","19.97","20.12"
"602","8/24/2020","25.32","1.61","2.93","3.45","25.27","99.47","21.32","21.38"
"603","8/25/2020","25.05","1.61","19.22","3.38","25.04","99.41","22.78","22.79"
"604","8/26/2020","26.88","1.42","2.46","3.35","26.83","99.41","22.66","22.73"
"605","8/27/2020","26.39","2.02","3.56","4.46","26.37","99.23","23.35","23.38"
"606","8/28/2020","26.04","3.25","15.5","6.35","26.01","98.97","23.17","23.19"
"607","8/29/2020","26.91","2.01","1.7","4.18","26.86","98.84","23.32","23.37"
"608","8/30/2020","27.3","1.23","7.33","2.72","27.27","98.69","23.17","23.25"
"609","8/31/2020","26.3","1.32","10.92","3.22","26.26","98.88","23.2","23.28"
"610","9/1/2020","26.96","1.4","4.71","3.51","26.94","99.1","23.53","23.6"
"611","9/2/2020","27.29","1.74","0.04","4.06","27.23","99.12","21.62","21.78"
"612","9/3/2020","26.57","1.87","0.01","4.05","26.65","99.19","20.81","20.96"
"613","9/4/2020","26.61","1.65","0.24","3.59","26.62","99.53","21.29","21.42"
"614","9/5/2020","23.7","2.07","0","4.58","23.66","99.9","14.72","15.02"
"615","9/6/2020","23.18","1.59","0","3.45","23.63","99.66","13.88","14"
"616","9/7/2020","23.3","1.5","0.09","3.56","23.52","99.22","14.08","14.22"
"617","9/8/2020","24.63","1.57","0","3.81","24.55","99.24","17.21","17.43"
"618","9/9/2020","24.49","1.62","0","3.84","24.41","99.53","17.06","17.25"
"619","9/10/2020","26.07","1.46","0.05","3.31","26.05","99.66","20.2","20.34"
"620","9/11/2020","27.33","1.34","0.46","3.05","27.32","99.39","20.89","21.02"
"621","9/12/2020","27.34","1.79","1.62","4.1","27.26","99.14","21","21.14"
"622","9/13/2020","27","1.64","0.57","3.66","26.9","99.22","18.67","18.99"
"623","9/14/2020","26.86","2.06","0.99","4.2","26.75","99.46","20.27","20.4"
"624","9/15/2020","25.82","2.8","0.25","5.3","25.74","99.43","19.79","19.94"
"625","9/16/2020","21.44","3.93","5.25","7.23","21.42","99.01","17.24","17.39"
"626","9/17/2020","24.51","3.39","5.55","6.57","24.48","98.6","18.58","18.69"
"627","9/18/2020","21.74","2.48","0","4.95","21.74","99.2","14.42","14.6"
"628","9/19/2020","19.7","2.01","0","4.21","19.66","99.67","13.69","13.8"
"629","9/20/2020","19.12","2.47","0","5.09","19.05","99.95","9.93","10.03"
"630","9/21/2020","17.96","2.43","0","5.02","17.88","100.1","8.13","8.25"
"631","9/22/2020","18.53","1.39","0.03","2.69","18.8","99.81","11.09","11.27"
"632","9/23/2020","20.26","1.38","10.42","2.85","20.32","99.39","13.65","13.94"
"633","9/24/2020","20.77","2.67","32.21","5.25","20.72","98.79","18.64","18.87"
"634","9/25/2020","21.79","1.53","2.47","3.21","21.77","99.07","18.61","18.64"
"635","9/26/2020","21.02","0.99","0.04","1.88","21.53","99.24","16.97","17.04"
"636","9/27/2020","22.99","1.66","0.17","3.79","23.05","98.92","17.98","18.09"
"637","9/28/2020","21.46","2.46","7.21","4.95","21.45","98.75","18.3","18.5"
"638","9/29/2020","15.38","1.84","2.67","3.96","15.35","99.14","10.88","10.98"
"639","9/30/2020","16.18","1.76","0","3.62","16.6","99.37","9.68","9.82"
"640","10/1/2020","16.91","2.07","0","4.82","16.86","99.41","10.1","10.23"
"641","10/2/2020","13.98","2.08","0","4.61","13.92","99.69","6.03","6.14"
"642","10/3/2020","14.14","1.36","0","2.94","14.52","99.71","6.35","6.43"
"643","10/4/2020","16.49","1.58","0","3.56","16.5","99.71","9.61","9.79"
"644","10/5/2020","17.13","1.23","0","2.65","17.41","99.68","10.17","10.29"
"645","10/6/2020","18.62","1.02","0","2.06","19.56","99.53","10.93","11.1"
"646","10/7/2020","19.85","1.27","0.01","2.29","21.28","99.45","13.34","13.51"
"647","10/8/2020","20.02","1.31","0.05","3.05","20.62","99.51","12.1","12.23"
"648","10/9/2020","20.05","2","11.2","4.22","20.11","99.45","17.91","18.05"
"649","10/10/2020","22.4","3.39","41.56","6.63","22.4","98.56","20.97","21.01"
"650","10/11/2020","21.6","1.76","13.13","3.92","21.59","98.48","19.94","19.91"
"651","10/12/2020","22.57","1.63","0.75","4.08","22.55","98.93","19.79","19.82"
"652","10/13/2020","16.95","2.21","0.01","4.82","16.97","99.46","10.94","11.25"
"653","10/14/2020","17.19","1.81","0","4.5","17.17","99.31","12.32","12.76"
"654","10/15/2020","18.65","1.79","0.02","3.74","19.18","99.19","14.57","14.66"
"655","10/16/2020","12.79","2.56","0.2","5.27","12.78","99.94","6.58","6.77"
"656","10/17/2020","10.95","1.87","0","4.44","10.91","100.08","3.22","3.52"
"657","10/18/2020","16.1","2.04","0","4.54","16.05","99.88","11.36","11.65"
"658","10/19/2020","19.11","1.89","0","4.38","19.09","99.76","15.11","15.2"
"659","10/20/2020","19.44","1.61","0","3.98","19.41","99.69","15.06","15.17"
"660","10/21/2020","21.18","1.55","0","3.9","21.15","99.75","17.27","17.33"
"661","10/22/2020","21.84","1.83","0.04","4.37","21.81","99.58","17.85","17.9"
"662","10/23/2020","21.98","1.47","2.6","3.4","22.11","99.41","18.32","18.37"
"663","10/24/2020","18.04","1.08","31.13","2.21","18.13","99.12","17.38","17.62"
"664","10/25/2020","16.49","1.21","0.19","2.32","16.64","99.13","14.06","14.19"
"665","10/26/2020","18.47","1.1","0.22","2.29","18.76","99.45","15.67","15.73"
"666","10/27/2020","20.57","1.56","2.23","3.73","20.54","99.54","18.39","18.47"
"667","10/28/2020","22.43","2.7","27.19","5.73","22.44","98.95","21.53","21.52"
"668","10/29/2020","16.55","3.67","18.35","6.87","16.6","98.37","12.2","13.65"
"669","10/30/2020","10.16","2.59","0.32","5.11","10.12","99.8","5.99","6.03"
"670","10/31/2020","11.68","1.96","0","4.41","11.64","100.03","8.59","8.89"
"671","11/1/2020","13.14","2.66","0","5.41","13.17","100.05","7.37","7.96"
"672","11/2/2020","5.72","2.14","0","4.16","6.42","100.52","-1.68","-1.61"
"673","11/3/2020","7.59","0.94","0","1.39","10.88","100.33","0.2","0.38"
"674","11/4/2020","10.01","1.24","0","2.4","12.22","100.42","4.87","5.14"
"675","11/5/2020","11.75","1.54","0","3.91","11.82","100.29","9.02","9.34"
"676","11/6/2020","15.43","1.75","0","4.36","15.43","99.99","12.47","12.63"
"677","11/7/2020","17.55","2.14","0.2","4.66","17.54","99.83","15.82","15.95"
"678","11/8/2020","19.25","2.37","0.02","5.17","19.27","99.81","16.95","16.95"
"679","11/9/2020","19.6","2.23","0.01","5.1","19.62","99.64","17.15","17.13"
"680","11/10/2020","20.74","2.15","1.29","4.73","20.74","99.15","19","19.04"
"681","11/11/2020","21.01","1.55","11.92","3.38","21.07","98.95","19.63","19.84"
"682","11/12/2020","14.57","1.75","0.37","3.71","14.56","99.17","12.47","12.54"
"683","11/13/2020","12.42","1.6","0","3.97","12.45","99.69","8.3","8.45"
"684","11/14/2020","13.79","1.94","0","4.59","13.78","99.51","9.33","9.57"
"685","11/15/2020","13.24","2.74","0.19","6","13.29","99.52","8.41","9.32"
"686","11/16/2020","7.48","1.76","0","3.56","8.77","100.19","1.59","1.65"
"687","11/17/2020","7.8","2.53","0","5.87","7.88","100.58","1.05","1.06"
"688","11/18/2020","7.25","1.87","0","4.41","7.39","100.86","0.37","0.48"
"689","11/19/2020","8.52","2.12","0","5.23","8.54","100.8","1.75","1.89"
"690","11/20/2020","11.17","1.59","0","3.29","11.85","100.67","7.99","8.25"
"691","11/21/2020","12.77","1.45","0","2.68","14.09","100.34","9.79","9.86"
"692","11/22/2020","14.1","1.99","0.04","4.48","14.12","99.86","10.67","10.78"
"693","11/23/2020","7.28","2.22","0","4.7","7.29","100.09","2.35","2.42"
"694","11/24/2020","9.06","2.31","0","5.17","9.03","99.88","4.91","5.11"
"695","11/25/2020","15.08","3.13","13.28","6.14","15.1","99.41","13.68","14.02"
"696","11/26/2020","11.69","1.36","1.69","2.48","12.8","99.56","8.64","8.78"
"697","11/27/2020","12.15","1.28","3.86","2.96","12.35","99.52","9.44","9.66"
"698","11/28/2020","10.98","1.79","0.46","4.07","11.01","99.59","8.79","8.84"
"699","11/29/2020","10.07","1.71","22.64","3.46","10.07","98.97","9.39","9.57"
"700","11/30/2020","3.12","3.48","1.61","6.35","3.15","99.18","1.44","-0.27"
"701","12/1/2020","-0.81","1.93","0","3.62","0.27","99.87","-2.49","-5.25"
"702","12/2/2020","0.65","1.85","0","3.43","2.03","100.29","-0.95","-3.94"
"703","12/3/2020","5.63","1.85","0.11","4.25","5.59","99.98","3.54","1.48"
"704","12/4/2020","6.83","2.02","20.11","4.48","6.89","99.53","6.26","5.63"
"705","12/5/2020","5.16","1.59","0.01","3.04","5.63","99.71","4.14","2.65"
"706","12/6/2020","6.26","1.52","0.01","3.28","6.8","99.18","5.76","4.72"
"707","12/7/2020","3.41","2.67","0.12","5.23","3.42","99.26","1.78","0.15"
"708","12/8/2020","1.49","1.63","0","3.11","2.52","99.73","1.23","-0.06"
"709","12/9/2020","5.57","1.67","0.04","3.68","5.8","99.55","5.08","4.35"
"710","12/10/2020","8.56","1.54","0.04","3.45","8.91","99.53","7.55","6.2"
"711","12/11/2020","10.43","1.89","0.03","4.5","10.44","99.49","9.93","9.42"
"712","12/12/2020","12.62","2.34","7.1","5.15","12.74","99.22","12.67","12.59"
"713","12/13/2020","9.58","1.36","22.91","3.38","9.57","99.28","8.58","7.6"
"714","12/14/2020","5.53","3.13","17.82","5.81","5.58","99.47","4.43","3.29"
"715","12/15/2020","4.19","1.68","1.37","3.67","4.19","99.51","3.35","2.51"
"716","12/16/2020","4.69","1.68","7.89","3.53","4.76","99.15","4.47","4.19"
"717","12/17/2020","0.35","2.03","0.03","3.87","0.6","99.9","-1.01","-2.62"
"718","12/18/2020","0.77","1.35","0","2.68","1.95","100.48","-0.24","-2.42"
"719","12/19/2020","4.3","1.96","0.35","4.62","4.31","100.05","2.99","1.67"
"720","12/20/2020","7.56","1.12","0.6","2.4","7.97","99.35","7.49","7.02"
"721","12/21/2020","7.57","1.98","0.17","4.42","7.61","99.59","6.77","5.93"
"722","12/22/2020","6.9","1.65","0.03","3.32","7.71","100.04","5.32","2.94"
"723","12/23/2020","8.92","3.03","4.13","6.17","8.93","99.52","7.57","6.21"
"724","12/24/2020","3.54","3.5","33.72","6.49","3.63","98.92","2.37","1.11"
"725","12/25/2020","-3.72","2.46","0","5.07","-3.7","99.68","-6.59","-9.48"
"726","12/26/2020","-0.67","1.55","0","3.28","-0.29","99.89","-2.78","-5.27"
"727","12/27/2020","3.5","2.13","0","5.04","3.52","99.79","2.23","0.93"
"728","12/28/2020","6.44","1.64","0.18","3.34","6.7","100.19","6.42","6.13"
"729","12/29/2020","7.73","1.8","0.03","3.97","7.76","100.29","6.87","5.97"
"730","12/30/2020","11.53","2.67","0.13","5.55","11.55","99.75","10.8","10.06"
"731","12/31/2020","13.52","1.77","5.55","3.86","13.52","99.35","13.14","12.77"
